Store,Date,Cigarette Name,Cigarette UPC,Sell Unit Quantity,Item Number,Cost,Sales,Quantity Sold
3,4/21/20,PALL MALL CLAS M SILVER BX 100,2720000417,1,50885,10.62,9.6,2
3,5/1/20,PALL MALL CLAS M SILVER BX 100,2720000417,1,50885,21.24,17.8,4
3,2/10/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,4.71,4.33,1
3,2/11/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.13,12.99,3
3,2/12/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.13,12.99,3
3,2/14/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,23.55,21.65,5
3,2/15/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.13,12.99,3
3,2/16/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,9.42,8.66,2
3,2/17/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.13,12.99,3
3,2/18/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,19.24,17.8,4
3,2/19/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,19.24,17.8,4
3,2/21/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,4.81,4.45,1
3,3/9/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,24.06,22.25,5
3,3/10/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,28.87,26.7,6
3,3/11/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,19.24,17.8,4
3,3/12/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,28.87,26.7,6
3,3/13/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,24.06,22.25,5
3,3/14/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,4.81,4.45,1
3,3/15/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,19.24,17.8,4
3,3/16/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,19.24,17.8,4
3,3/17/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.43,13.35,3
3,3/18/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.43,13.35,3
3,3/19/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,24.06,22.25,5
3,3/20/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,9.62,8.9,2
3,3/21/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,14.43,13.35,3
3,3/22/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,4.81,4.45,1
3,4/16/20,PALL MALL MEN BX 100  50 OFF,2720000389,1,50727,4.81,4.45,1
3,2/10/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,28.25,25.98,6
3,2/11/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,18.84,17.32,4
3,2/12/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,37.67,34.64,8
3,2/13/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,18.84,17.32,4
3,2/14/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,127.14,116.91,27
3,2/15/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,23.55,21.65,5
3,2/16/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,23.55,21.65,5
3,2/17/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.13,12.99,3
3,2/18/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,43.3,40.05,9
3,2/19/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,24.06,22.25,5
3,2/20/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,19.24,17.8,4
3,2/21/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,38.49,35.6,8
3,3/9/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,9.62,8.9,2
3,3/10/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,9.62,8.9,2
3,3/11/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,33.68,31.15,7
3,3/12/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,3/13/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,110.65,102.35,23
3,3/14/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,28.87,26.7,6
3,3/15/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,28.87,26.7,6
3,3/16/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,3/17/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,28.87,26.7,6
3,3/18/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,19.24,17.8,4
3,3/19/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,24.06,22.25,5
3,3/20/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,105.84,97.9,22
3,3/21/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,4.81,4.45,1
3,4/13/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,4/13/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,9.62,8.6,2
3,4/14/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,12.9,3
3,4/15/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,19.24,17.8,4
3,4/15/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,9.62,8.6,2
3,4/16/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,4.81,4.45,1
3,4/16/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,19.24,17.2,4
3,4/17/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,4/17/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,105.84,94.6,22
3,4/18/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,4.81,4.45,1
3,4/19/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,4/20/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,4/20/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,9.62,8.6,2
3,4/21/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,28.87,26.7,6
3,4/22/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,19.24,17.8,4
3,4/23/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,24.06,22.25,5
3,4/23/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,48.11,43,10
3,4/24/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,33.68,31.15,7
3,4/25/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,14.43,13.35,3
3,4/25/20,PALL MALL RED BX 100  50 OFF,2720000391,1,50731,9.62,8.6,2
3,3/9/20,PALL MALL RED BX KS  50 OFF,2720000392,1,50722,4.81,4.45,1
3,3/10/20,PALL MALL RED BX KS  50 OFF,2720000392,1,50722,4.81,4.45,1
